10001,  Box Mods,  Vaporesso,  Vaporesso GEN FIT 40W ,  , 10, 100, 1
10104,  Pod System,  Voopoo,  Voopoo Argus Pro 80W,  , 10, 100, 1
10105,  Pod System,  Voopoo,  Voopoo Vinci 2 50W Pod Mod Kit,  , 10, 100, 1
10106,  Pod System,  Voopoo,  Voopoo Vinci 40W,  , 10, 100, 1
10107,  Pod System,  Voopoo,  Voopoo Drag X Plus 100W Pod Mod Kit,  , 10, 100, 1
10108,  Pod System,  Voopoo,  Voopoo Drag 3 177W Starter Kit,  , 10, 100, 1
10109,  Pod System,  Voopoo,  Voopoo Drag S 60W,  , 10, 100, 1
10110,  Pod System,  Voopoo,  Voopoo Drag S 80W,  , 10, 100, 1
10111,  Pod System,  Geekvape,  Geekvape AU(Aegis U) 20W,  , 10, 100, 1
10112,  Pod System,  Geekvape,  Geekvape Aegis 18W ,  , 10, 100, 1
10113,  Pod System,  Geekvape,  Geekvape H45 45W,  , 10, 100, 1
10114,  Pod System,  Geekvape,  Geekvape Aegis One,  , 10, 100, 1
10115,  Pod System,  SMOK,  SMOK Nfix Pro 25W ,  , 10, 100, 1
10116,  Pod System,  SMOK,  SMOK Novo 2x 20W,  , 10, 100, 1
10117,  Pod System,  SMOK,  SMOK Novo 4 25W,  , 10, 100, 1
10118,  Pod System,  SMOK,  SMOK Nord 5 80W,  , 10, 100, 1
10119,  Pod System,  SMOK,  SMOK Nord 4 80W,  , 10, 100, 1
10120,  Pod System,  SMOK,  SMOK Nord 50W,  , 10, 100, 1
10121,  Pod System,  SMOK,  SMOK RPM 5 80W,  , 10, 100, 1
10122,  Pod System,  SMOK,  SMOK RPM 4 60W,  , 10, 100, 1
10123,  Pod System,  SMOK,  SMOK RPM 2 80W,  , 10, 100, 1
10124,  Pod System,  SMOK,  SMOK Nord X 60W,  , 10, 100, 1
10125,  Pod System,  SMOK,  SMOK Fetch Pro 80W,  , 10, 100, 1
10126,  Pod System,  SMOK,  SMOK RPM40 40W,  , 10, 100, 1
10127,  Pod System,  SMOK,  SMOK Micare ,  , 10, 100, 1
10128,  Pod System,  SMOK,  SMOK Novo 2 25W,  , 10, 100, 1
10129,  Pod System,  Lost Vape,  Lost Vape Orion Mini 17W ,  , 10, 100, 1
10130,  Pod System,  Lost Vape,  Lost Vape Orion Art 18W Pod,  , 10, 100, 1
10131,  Pod System,  Lost Vape,  Lost Vape Gemini ,  , 10, 100, 1
10132,  Pod System,  Dotmod,  Dotmod DotPod Nano 18W,  , 10, 100, 1
10133,  Pod System,  Suorin,  Suorin Air Pro 18W,  , 10, 100, 1
10134,  Pod System,  Suorin,  Suorin Air Mod 40W,  , 10, 100, 1
10135,  Pod System,  Suorin,  Suorin Ace 15W,  , 10, 100, 1
10136,  Pod System,  Snowwolf,  Snowwolf P50 50W Gemini Hybrid 80W,  , 10, 100, 1
10137,  Pod System,  Snowwolf,  Snowwolf WOcket 25W,  , 10, 100, 1
10138,  Pod System,  Snowwolf,  Snowwolf Afeng 22W ,  , 10, 100, 1
